patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
71,cool-stable,1,39,3900.0,22.142,2491.907,2.0643234,0.0,0.0,23.317,-0.9278259,-0.21759948
72,cool-stable,1,24,2400.0,23.675999,2379.7373,1.5200155,0.0,0.04670267,23.616,-0.88223493,-0.23039986
73,cool-stable,1,236,23600.0,24.529,2349.0635,1.2089763,0.0,0.0,24.805,-0.46401718,-0.0874004
74,cool-stable,1,9,900.0,17.891,1978.8127,9.665379,0.008577777,0.0025514404,28.574,0.25672135,-1.0719601
75,cool-stable,1,10,1000.0,23.84,1939.8325,2.5061126,0.0,0.0,22.511,-0.7448354,-0.66302013
76,cool-stable,1,65,6500.0,16.34,1902.2356,1.6023852,0.0006153846,0.0021880344,23.113,-0.013509133,-0.36171967
77,cool-stable,1,10,1000.0,17.952,3000.0,2.470687,0.0,0.00039506174,24.942501,-0.85676134,0.42378056
78,cool-stable,1,29,2900.0,24.409,2114.4265,2.830657,0.0,0.0,26.154,-0.6650023,0.13388054
79,cool-stable,1,12,1200.0,25.7145,2107.1045,4.5636683,0.0,0.0,26.140999,0.24432686,0.0948603
80,cool-stable,1,96,9600.0,20.786499,2025.9442,2.5296674,0.0,0.0,29.706001,0.4927981,-0.3610201
81,cool-stable,1,1065,106500.0,18.486,3000.0,0.4149436,0.003964695,0.011855793,25.707,-0.061667304,-0.03003914
82,cool-stable,1,17,1700.0,26.237,2237.789,1.8741497,0.0,0.0,24.494,-0.32391432,-0.12175995
83,cool-stable,1,10,1000.0,15.816999,3000.0,1.3147925,0.04008,0.060012348,24.303501,0.21223375,-0.19832009
84,cool-stable,1,18,1800.0,19.472,2612.9104,1.6390814,0.0,0.0,23.1155,-0.8444437,-0.078539506
85,cool-stable,1,22,2200.0,30.8155,1795.4524,20.593334,0.022109091,0.0035634118,19.3925,0.24163766,0.59277964
86,cool-stable,1,16,1600.0,20.221,2039.1539,0.7695332,0.0,0.0,24.92,0.10283382,-0.14587982
87,cool-stable,1,21,2100.0,21.932,2066.035,4.442329,0.0,0.020770136,25.373,0.24250486,-0.2576806
88,cool-stable,1,54,5400.0,16.625,1699.4556,3.1603587,0.0048,0.0011454046,25.419998,-0.2003667,-0.32109937
89,cool-stable,1,11,1100.0,36.025,3000.0,8.3659115,0.100072734,0.2224579,6.52,-0.8640224,-0.25567964
90,cool-stable,1,10,1000.0,28.348,2480.9976,3.4800115,0.0,0.0,26.98,-0.46825355,-0.6596198
91,cool-stable,1,413,41300.0,19.235,1656.4117,2.8703322,0.0,0.019300213,27.414,0.38874593,-0.30460098
92,cool-stable,1,18,1800.0,26.5765,2659.3503,3.0745635,0.0,0.0,24.3255,-0.106515095,-0.07591946
93,cool-stable,1,57,5700.0,20.413,1947.9734,2.607611,0.0,0.030654104,26.088,-0.4210978,-0.32636046
94,cool-stable,1,14,1400.0,29.034,1649.3179,21.143694,0.0,0.0,19.515,0.6816186,0.31402004
95,cool-stable,1,11,1100.0,21.085,2464.001,4.2832713,0.0,0.0,23.303,-0.637483,-0.42711976
96,cool-stable,1,76,7600.0,24.078499,1954.904,5.453092,0.0035157893,0.011065627,25.4045,0.7752819,-0.10641987
97,cool-stable,1,23,2300.0,10.209,3000.0,3.1262758,0.01653913,0.08698336,26.739,0.17415673,-0.045999527
98,cool-stable,1,10,1000.0,21.7645,3000.0,3.774499,0.05636,0.06546914,24.827,-0.8991271,-0.22077945
99,cool-stable,1,29,2900.0,27.627,1843.285,3.0907626,0.0,0.0,25.391,-0.68300885,-0.4326007
100,cool-stable,1,15,1500.0,16.68,1601.2495,2.82295,0.0011199999,0.0,26.009,-0.622432,-0.23372012
101,cool-stable,1,13,1300.0,22.397,3000.0,3.0743058,0.0,0.0,26.572,-0.10791555,0.1437194
102,cool-stable,1,11,1100.0,20.246,3000.0,3.5630522,0.015636364,0.043771043,30.023,0.4136134,-0.12564072
103,cool-stable,1,15,1500.0,22.839,3000.0,0.6310235,0.009546666,0.05603292,25.201,0.40406737,-0.057119217
104,cool-stable,1,10,1000.0,31.8085,3000.0,12.570099,0.10204001,0.46750617,7.705,0.41124666,-0.94140005
105,cool-stable,1,41,4100.0,20.539,3000.0,2.1155589,0.029385366,0.061394155,26.386,-0.7655244,0.055359725
106,cool-stable,1,12,1200.0,18.9665,2428.2297,3.8401718,0.0,0.0,25.793,-0.5301318,-0.60393953
107,cool-stable,1,11,1100.0,17.657,3000.0,0.47248518,0.014581818,0.043625142,25.67,-0.099127084,-0.042960662
108,cool-stable,1,18,1800.0,22.742,3000.0,2.479083,0.0021555556,0.04290809,27.4505,0.4289816,0.22463962
109,cool-stable,1,33,3300.0,26.539,1473.126,3.2114532,0.0,0.0,23.847,0.70591193,-0.6082401
110,cool-stable,1,33,3300.0,17.609,1714.2053,1.4341453,0.0,0.0,25.352,0.24065551,-0.3185997
111,cool-stable,1,22,2200.0,27.14,2457.7427,4.5261,0.0,0.0,23.5,-0.58087254,0.04051922
112,cool-stable,1,18,1800.0,27.7905,1768.7141,3.3688786,0.0,0.0,23.937,0.82547593,-0.09352063
113,cool-stable,1,12,1200.0,23.7525,1471.9541,3.1362152,0.0,0.048045266,29.8675,-0.792173,-0.33711946
