patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
3440,cool-amplifying,cool amplifying,13,12,1200.0,26.635,19.825,24.630001,6.7766666,2.036667,3000.0,23.7115,8.589645,0.51629937,-0.6929027,27.175,0.0,145.3937,0.0,0.22900206
3441,cool-amplifying,cool amplifying,13,11,1100.0,26.216667,19.57,24.0,6.6666665,2.206667,3000.0,33.132,2.0211961,-0.2514395,0.45160022,26.862,0.0,22.36068,0.022727273,0.10805836
3442,cool-amplifying,cool amplifying,13,14,1400.0,26.28,19.565,24.06,6.741666,2.2200005,3000.0,33.193,2.0791087,-0.33300033,-0.13046655,27.595,0.0,59.15476,0.0,0.013553792
3443,cool-amplifying,cool amplifying,13,23,2300.0,26.48,19.75,24.31,6.6766677,2.153333,3000.0,32.712,4.068148,-0.5377983,-0.91134125,27.438,0.0,50.990196,0.0,0.073827155
3444,cool-amplifying,cool amplifying,13,15,1500.0,26.476667,19.89,24.52,6.736667,2.1299999,3000.0,33.17,2.6089323,-0.33500123,-0.98470443,26.735,0.0,10.0,0.07242667,0.21437038
3445,cool-amplifying,cool amplifying,13,10,1000.0,26.536667,19.8,24.335,6.716667,2.2083344,3000.0,27.9195,6.894208,0.048399124,0.7492299,26.568,0.0,125.82763,0.0,0.0
3446,cool-amplifying,cool amplifying,13,43,4300.0,26.233334,19.49,24.08,6.716667,2.1266658,3000.0,34.018,1.6022611,-0.16796005,-0.84772205,28.613,0.0,36.05551,0.011144186,0.12865347
3447,cool-amplifying,cool amplifying,13,13,1300.0,26.463333,19.77,24.4,6.6933327,2.0699997,3000.0,33.591,8.423744,-0.66160035,-0.30893895,28.158,0.0,58.309517,0.0,0.044995252
3448,cool-amplifying,cool amplifying,13,9,900.0,26.880001,20.17,25.32,6.713333,1.5200005,3000.0,44.845,3.7425208,-0.45404205,0.89113253,23.945,0.0,197.23083,0.0,0.0
3449,cool-amplifying,cool amplifying,13,15,1500.0,26.586668,19.93,25.38,6.7133336,1.206667,3000.0,30.603,1.5568674,-0.27603996,0.0907035,29.994,0.0,232.59407,0.0,0.0
3450,cool-amplifying,cool amplifying,13,12,1200.0,26.79,19.955,24.625,6.8,2.1383328,3000.0,31.043,6.693118,-0.22292,-0.92207026,27.9855,0.0,40.0,0.004166667,0.19316871
3451,cool-amplifying,cool amplifying,13,10,1000.0,26.66,19.93,25.35,6.6783333,1.3099997,3000.0,35.492,1.629318,-0.20875901,-0.3511864,23.060501,0.0,173.63463,0.0,0.0
3452,cool-amplifying,cool amplifying,13,12,1200.0,26.439999,19.83,25.075,6.6016665,1.3499994,3000.0,35.5775,1.3997059,-0.3453192,-0.7887699,25.344,0.0,114.21121,0.0,0.0
3453,cool-amplifying,cool amplifying,13,15,1500.0,26.813334,19.98,24.57,6.7900014,2.2166665,3000.0,31.626,5.197685,-0.5850795,0.443835,28.379,0.0,72.11102,0.0,0.21625514
3454,cool-amplifying,cool amplifying,13,16,1600.0,26.573334,19.935001,25.33,6.668332,1.2349999,3000.0,31.221,1.7432249,-0.4627596,-0.6712409,28.088,0.0,249.19742,0.0,0.0
3455,cool-amplifying,cool amplifying,13,9,900.0,26.6,19.89,24.4,6.6800017,2.2500012,3000.0,31.564,5.1667705,-0.29312056,-0.8733514,25.246,0.0,40.0,0.0009777778,0.18930042
