patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,centroid_x,centroid_y,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
883,cool-stable,cool stable,1,18,1800.0,25504921.111111112,6679846.666666667,25.535,20.19,25.025002,5.4800005,0.60500014,2255.582,24.785,0.71855843,-0.13630074,-0.3513283,27.192,0.0,31.622776,0.009177778,0.15621398
884,cool-stable,cool stable,1,9,900.0,25505009.444444444,6679878.333333333,25.776667,20.19,25.15,5.556667,0.7400004,2206.1958,25.818,2.1607163,0.11724076,0.4773972,24.428,0.0,20.0,0.062266666,0.3265295
885,cool-stable,cool stable,1,87,8700.0,25510437.87356322,6679814.540229885,26.423332,20.81,25.81,5.5133324,0.6133334,100.0,11.041,5.476357,0.07583965,-0.72892094,20.498,0.03448276,50.0,0.0075310348,0.0028309918
886,cool-stable,cool stable,1,18,1800.0,25501342.777777776,6679836.666666667,25.715,20.15,24.92,5.6549997,0.8349991,1988.0386,16.917,3.538908,0.115720734,-0.9059297,23.829498,0.0,60.413815,0.0,0.22089164
887,cool-stable,cool stable,1,97,9700.0,25506801.082474228,6679798.5051546395,25.13,19.99,24.46,5.14,0.61666554,1261.4277,4.234,0.4746988,-0.036959857,0.63625723,24.327,0.0,44.72136,0.008824742,0.03528064
888,cool-stable,cool stable,1,10,1000.0,25496921.0,6679848.0,25.731667,20.08,24.720001,5.6949997,1.0283333,2671.0005,25.6545,2.7731528,0.38489932,0.056643743,24.5615,0.0,115.31829,0.0,0.1978395
889,cool-stable,cool stable,1,45,4500.0,25504697.222222224,6679827.666666667,25.676666,20.06,24.84,5.623333,0.7699998,2416.2988,26.496,1.646922,-0.15839928,-0.25594488,26.847,0.0,20.0,0.050826665,0.27436763
890,cool-stable,cool stable,1,53,5300.0,25508664.433962263,6679749.905660378,25.523333,20.12,24.88,5.47,0.5733331,358.46896,4.544,4.9230785,-0.012119923,0.044771314,26.416,0.0,170.0,0.0,0.0
891,cool-stable,cool stable,1,10,1000.0,25499171.0,6679842.0,25.371666,19.94,24.69,5.47,0.6800003,1726.977,9.3855,1.4057958,-0.049980048,-0.9427391,24.306,0.0,121.76905,0.0,0.14764199
892,cool-stable,cool stable,1,9,900.0,25506680.555555556,6679843.888888889,25.4,20.24,25.04,5.1966667,0.5100009,1319.7349,4.293,0.1881971,-0.061119784,0.2701945,24.591,0.0,70.0,0.0,0.06508916
893,cool-stable,cool stable,1,13,1300.0,25508735.0,6679814.230769231,25.406668,20.09,24.82,5.3466663,0.5566654,266.83328,16.2,4.7237597,0.20552002,-0.46851736,26.698,0.0,252.98221,0.0,0.0
894,cool-stable,cool stable,1,22,2200.0,25510250.90909091,6679828.181818182,26.441666,20.94,25.885,5.58,0.5683336,99.497475,11.592,7.793416,0.29806006,-0.9000837,19.4975,0.0,70.35534,0.0,0.0053198654
895,cool-stable,cool stable,1,14,1400.0,25494892.14285714,6679827.142857143,25.146667,19.58,24.064999,5.5650005,1.095,3000.0,27.124,0.30155545,-0.16116035,0.43105978,27.038,0.0,78.39015,0.0,0.0015167549
896,cool-stable,cool stable,1,66,6600.0,25502653.78787879,6679771.363636363,25.47,20.015,24.795,5.378334,0.6583338,2603.5444,17.744,0.86246324,-0.14963979,-0.3500836,25.475498,0.0,36.05551,0.004430303,0.05241302
897,cool-stable,cool stable,1,30,3000.0,25495379.333333332,6679818.666666667,25.675,20.064999,24.77,5.6549997,1.0099993,3000.0,18.3025,5.711153,0.028259601,0.9042753,26.424,0.0,63.245552,0.0,0.13635802
898,cool-stable,cool stable,1,13,1300.0,25503098.846153848,6679811.923076923,26.766666,21.22,26.47,5.593333,0.2666664,2950.5422,32.154,9.865215,-0.08107925,-0.2180638,6.187,0.0,28.284271,0.058092304,0.43540362
899,cool-stable,cool stable,1,10,1000.0,25506383.0,6679821.0,26.04,20.355,25.68,5.703333,0.40166697,1364.6052,13.5295,11.867237,0.17153987,-0.94561183,23.4315,0.0,28.284271,0.009880001,0.012123457
900,cool-stable,cool stable,1,1002,100200.0,25507919.96007984,6679501.357285429,25.231667,19.965,24.64,5.2833343,0.57000035,948.5779,8.987,0.93798447,-0.10991995,-0.12188213,26.529,0.0,380.6573,0.0,0.0013937558
