patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6074,16,Hot-amplifying,9,900.0,0.8786886315329168,0.8942920739378688,Other vegetation,Other veg.,55.55555555555556
6075,16,Hot-amplifying,11,1100.0,0.9082050154110544,0.858324872649851,Trees 2–10 m,Trees 2–10 m,9.090909090909092
6076,16,Hot-amplifying,9,900.0,0.8496715306228517,0.8931551196992018,Other vegetation,Other veg.,44.44444444444444
6077,16,Hot-amplifying,14,1400.0,0.941158631845267,0.9408360638361607,Other vegetation,Other veg.,50.0
6078,16,Hot-amplifying,9,900.0,0.9647580387897816,0.8563274800979243,Fields,Fields,88.88888888888889
6079,16,Hot-amplifying,33,3300.0,0.8956328894284958,0.9277191639613008,Other vegetation,Other veg.,51.515151515151516
6080,16,Hot-amplifying,9,900.0,0.7850786226078976,0.8863241466570606,Other vegetation,Other veg.,44.44444444444444
6081,16,Hot-amplifying,17,1700.0,0.8748955089632872,0.8901413518083127,Other vegetation,Other veg.,35.294117647058826
6082,16,Hot-amplifying,9,900.0,0.8948692610155883,0.9033830123552372,Other vegetation,Other veg.,77.77777777777777
6083,16,Hot-amplifying,10,1000.0,0.8425048549953225,0.9086277944449822,Other vegetation,Other veg.,40.0
6084,16,Hot-amplifying,11,1100.0,0.9877631243236585,0.8015663555129346,Fields,Fields,100.0
6085,16,Hot-amplifying,16,1600.0,0.8426669610310009,0.8668778428336399,Other vegetation,Other veg.,37.5
6086,16,Hot-amplifying,16,1600.0,0.889857394593374,0.9205861882641375,Other vegetation,Other veg.,43.75
6087,16,Hot-amplifying,9,900.0,0.8933187808925737,0.896511822962031,Other vegetation,Other veg.,44.44444444444444
6088,16,Hot-amplifying,11,1100.0,0.896061544507301,0.8623176407450095,Trees 2–10 m,Trees 2–10 m,45.45454545454545
6089,16,Hot-amplifying,26,2600.0,0.9007392173941094,0.9233852953072927,Other vegetation,Other veg.,50.0
6090,16,Hot-amplifying,9,900.0,0.9440892716969365,0.8678189619019968,Other vegetation,Other veg.,77.77777777777777
6091,16,Hot-amplifying,28,2800.0,0.8844162830137376,0.8471390321346772,Other vegetation,Other veg.,53.57142857142857
6092,16,Hot-amplifying,12,1200.0,0.9547894555738358,0.9218036872157166,Other vegetation,Other veg.,41.666666666666664
6093,16,Hot-amplifying,13,1300.0,0.9253188068101452,0.8874451285029045,Other vegetation,Other veg.,30.76923076923077
6094,16,Hot-amplifying,19,1900.0,0.8739776155767334,0.9080310570290042,Other vegetation,Other veg.,63.1578947368421
6095,16,Hot-amplifying,30,3000.0,0.9059115025215868,0.9455092637396904,Other vegetation,Other veg.,50.0
6096,16,Hot-amplifying,10,1000.0,0.8217343140101292,0.887221458756734,Trees 2–10 m,Trees 2–10 m,30.0
6097,16,Hot-amplifying,22,2200.0,0.8961061060620724,0.9265273366589537,Other vegetation,Other veg.,68.18181818181819
6098,16,Hot-amplifying,9,900.0,0.9157085712442338,0.9146557057396117,Other vegetation,Other veg.,44.44444444444444
6099,16,Hot-amplifying,10,1000.0,0.9349023839478694,0.8919576437949612,Trees 2–10 m,Trees 2–10 m,20.0
6100,16,Hot-amplifying,11,1100.0,0.8468570540398663,0.8662929302704779,Other vegetation,Other veg.,36.36363636363637
6101,16,Hot-amplifying,9,900.0,0.8856105394080812,0.9082551766902875,Other vegetation,Other veg.,44.44444444444444
6102,16,Hot-amplifying,10,1000.0,0.9043303977547662,0.869408980934869,Other vegetation,Other veg.,60.0
6103,16,Hot-amplifying,13,1300.0,0.8382297195691175,0.8788753235216024,Trees 2–10 m,Trees 2–10 m,15.384615384615385
6104,16,Hot-amplifying,12,1200.0,0.9054118950073659,0.9433545705775455,Other vegetation,Other veg.,41.666666666666664
6105,16,Hot-amplifying,10,1000.0,0.8653752056517952,0.9387197974128197,Other vegetation,Other veg.,40.0
6106,16,Hot-amplifying,21,2100.0,0.8644152422735603,0.9506131995041314,Other vegetation,Other veg.,42.857142857142854
6107,16,Hot-amplifying,18,1800.0,0.851849970070719,0.8576983666139768,Trees 2–10 m,Trees 2–10 m,33.333333333333336
6108,16,Hot-amplifying,62,6200.0,0.8774062014487459,0.9010546646145713,Other vegetation,Other veg.,51.61290322580645
6109,16,Hot-amplifying,10,1000.0,0.8845447595083712,0.8905491467466693,Trees 2–10 m,Trees 2–10 m,10.0
6110,16,Hot-amplifying,12,1200.0,0.8473591621235093,0.894889001795757,Other vegetation,Other veg.,66.66666666666667
6111,16,Hot-amplifying,29,2900.0,0.9003676981793628,0.8503482537256486,Other vegetation,Other veg.,41.37931034482759
6112,16,Hot-amplifying,56,5600.0,0.8972965372154863,0.9587657839192969,Other vegetation,Other veg.,58.92857142857143
6113,16,Hot-amplifying,240,24000.0,0.9153855541038958,0.9273081766078476,Other vegetation,Other veg.,47.916666666666664
6114,16,Hot-amplifying,16,1600.0,0.8826300646795058,0.9248743306235685,Other vegetation,Other veg.,68.75
6115,16,Hot-amplifying,11,1100.0,0.8966456395954122,0.9714241221857598,Other vegetation,Other veg.,81.81818181818181
6116,16,Hot-amplifying,16,1600.0,0.8666361818123165,0.9179621116810219,Other vegetation,Other veg.,31.25
6117,16,Hot-amplifying,9,900.0,0.9352388786735055,0.8767563469789348,Other vegetation,Other veg.,100.0
6118,16,Hot-amplifying,10,1000.0,0.8467804122713636,0.8823255588889964,Other vegetation,Other veg.,40.0
6119,16,Hot-amplifying,28,2800.0,0.8998862751332993,0.9250960975699678,Other vegetation,Other veg.,35.714285714285715
6120,16,Hot-amplifying,37,3700.0,0.881744772935134,0.9009879307353419,Other vegetation,Other veg.,37.83783783783784
6121,16,Hot-amplifying,36,3600.0,0.9067103687932586,0.8968813151678727,Other vegetation,Other veg.,69.44444444444444
6122,16,Hot-amplifying,41,4100.0,0.9025226541532811,0.9325710113386823,Other vegetation,Other veg.,43.90243902439025
6123,16,Hot-amplifying,10,1000.0,0.9069011581018742,0.8997333784960805,Other vegetation,Other veg.,70.0
6124,16,Hot-amplifying,11,1100.0,0.849696588453,0.9026677106886146,Other vegetation,Other veg.,72.72727272727273
6125,16,Hot-amplifying,379,37900.0,0.9364125338624849,0.9168251490962216,Other vegetation,Other veg.,55.93667546174142
6126,16,Hot-amplifying,10,1000.0,0.8501367463466565,0.8726164069808704,Other vegetation,Other veg.,20.0
6127,16,Hot-amplifying,11,1100.0,0.8681590021965518,0.910342972940476,Other vegetation,Other veg.,45.45454545454545
6128,16,Hot-amplifying,26,2600.0,0.9142263149927913,0.8840098936193972,Other vegetation,Other veg.,73.07692307692308
6129,16,Hot-amplifying,35,3500.0,0.8817215670551585,0.9377614761766508,Other vegetation,Other veg.,37.142857142857146
6130,16,Hot-amplifying,9,900.0,0.9060683677968107,0.8276791366029729,Other vegetation,Other veg.,66.66666666666667
6131,16,Hot-amplifying,36,3600.0,0.9237747275001702,0.9309099218254353,Other vegetation,Other veg.,50.0
6132,16,Hot-amplifying,16,1600.0,0.9063397407980902,0.9163230467111843,Other vegetation,Other veg.,68.75
