class,patch_id,n_pixels,connectivity_change_mean_percent,connectivity_change_median_percent,connectivity_change_p25_percent,connectivity_change_p75_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_temp_mean_degC,p90_temp_median_degC,mean_temp_mean_degC,mean_temp_median_degC,hw_minus_p90_mean_degC,hw_minus_p90_median_degC,p90_minus_mean_mean_degC,p90_minus_mean_median_degC,area_m2
Trees 2–10 m,1585,28,26.581768,26.82828,25.31726884841919,27.744958877563477,27.1425,27.261667,26.636072,26.810001,20.979643,20.955,0.5064285,0.48499998,5.656429,5.7800007,2800.0
Trees 2–10 m,1596,45,15.646485,15.568905,14.679373741149902,16.41972541809082,26.454147,26.386667,25.894222,25.93,20.576668,20.55,0.55992585,0.5300007,5.317556,5.3499985,4500.0
Trees 2–10 m,1610,50,23.584522,23.873829,21.440640449523926,26.244200229644775,27.629,27.788334,27.0534,27.32,21.1166,21.14,0.5756002,0.56500053,5.9368,5.9450006,5000.0
Trees 2–10 m,1640,48,28.15228,28.581472,27.491268157958984,28.904125690460205,27.950068,27.651667,26.968958,26.775002,20.953333,20.805,0.981111,0.96833324,6.015625,5.9699993,4800.0
Trees 2–10 m,1646,17,31.574142,31.605494,31.123476028442383,32.155982971191406,27.771765,27.806667,25.851765,25.93,21.025883,21.16,1.9199997,1.9499995,4.8258824,4.7700005,1700.0
Trees 2–10 m,1656,15,33.908768,33.94201,33.78658485412598,34.02242851257324,29.687334,29.506666,28.121334,28.03,21.714666,21.81,1.5660002,1.6033331,6.4066668,6.529999,1500.0
Trees 2–10 m,1657,15,32.518826,32.498104,31.962509155273438,32.92660903930664,27.41,27.413334,26.668667,26.79,20.798668,20.86,0.7413331,0.70000076,5.8700004,5.870001,1500.0
Trees 2–10 m,1685,52,24.23539,23.849007,23.330445289611816,25.11870002746582,28.1759,28.093334,27.723269,27.565,21.48577,21.345001,0.45262808,0.4366668,6.2375,6.2750006,5200.0
Trees 2–10 m,1689,16,34.499588,34.360443,34.17290019989014,34.76043128967285,29.656042,29.221668,28.119999,27.849998,21.935625,21.86,1.5360417,1.51,6.184375,6.2400007,1600.0
Trees 2–10 m,1720,51,34.54471,34.69979,33.64651298522949,35.26023292541504,27.638758,27.633333,26.865883,26.84,21.110981,21.03,0.7728758,0.7066657,5.754902,5.74,5100.0
Trees 2–10 m,1758,13,31.38795,31.256243,31.142229080200195,31.469730377197266,29.086668,29.04,27.751537,27.73,21.725384,21.57,1.3351282,1.3433336,6.0261536,6.0599995,1300.0
Trees 2–10 m,1760,13,35.52004,35.62352,35.45718765258789,35.707183837890625,30.096666,30.313334,28.493076,28.44,22.169231,22.1,1.6035894,1.6033325,6.323846,6.2800007,1300.0
Trees 2–10 m,1761,23,34.711388,34.675327,34.14052200317383,35.29977226257324,28.326231,27.55,27.193043,26.93,21.333479,21.39,1.1331884,1.0033321,5.8595653,5.92,2300.0
Trees 2–10 m,1785,16,26.783731,26.712097,26.539562702178955,26.999828815460205,29.190834,29.043335,27.82875,27.69,21.60875,21.494999,1.3620833,1.3466663,6.2200003,6.2599993,1600.0
Trees 2–10 m,1802,12,21.81611,21.962418,20.888667583465576,22.64274787902832,27.17639,26.943333,26.615835,26.325,21.048334,20.815,0.56055546,0.61833227,5.5674996,5.5700006,1200.0
Trees 2–10 m,1841,236,29.846329,30.1685,28.893834114074707,31.081227779388428,27.91445,27.630001,26.961313,26.875,21.162924,21.13,0.9531356,0.8700005,5.79839,5.83,23600.0
Trees 2–10 m,1843,490,21.867283,21.368706,19.623997688293457,24.625603199005127,27.250586,27.295,26.588491,26.634998,20.98298,21.03,0.66209525,0.6300001,5.60551,5.6000004,49000.0
Trees 2–10 m,1867,23,31.381096,31.169024,30.94535255432129,31.82984161376953,29.860144,30.063334,28.293043,28.39,21.813913,21.88,1.5671015,1.5966669,6.4791307,6.51,2300.0
Trees 2–10 m,1878,9,29.44009,29.528364,29.399784088134766,29.65533447265625,27.948519,28.096666,26.233334,26.3,21.285557,21.34,1.715185,1.6200002,4.9477777,5.120001,900.0
Trees 2–10 m,1891,13,32.864235,32.768223,32.739418029785156,33.12385559082031,29.363588,29.48,27.97231,28.2,21.563845,21.8,1.3912818,1.3966662,6.4084616,6.33,1300.0
