class,patch_id,n_pixels,connectivity_loss_mean_percent,connectivity_loss_median_percent,connectivity_loss_p25_percent,connectivity_loss_p75_percent,connectivity_loss_p90_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_baseline_temp_mean_degC,p90_baseline_temp_median_degC,p90_offset_mean_degC,p90_offset_median_degC,p90_offset_p25_degC,p90_offset_p75_degC,area_m2,log10_area_m2,expected_p90_offset_degC,residual_cooling_loss_degC
Trees 2–10 m,18612,12,12.380116,12.10161,11.692982196807861,13.43414855003357,13.977311611175537,27.167501,27.34,25.689165,25.765,1.4783336,1.4383322,1.267499953508377,1.6475006937980652,1200.0,3.0791812460476247,0.7378150862920658,0.7005171137582882
Trees 2–10 m,18631,11,1.620166,1.1877694,1.0350232422351837,1.2396177053451538,2.942199230194092,26.531818,26.326668,25.412727,25.35,1.1190912,0.99666595,0.968333899974823,1.2899996042251587,1100.0,3.041392685158225,0.8005466403207966,0.19611931426904716
Trees 2–10 m,18648,54,6.8792133,6.968295,6.398617744445801,7.274059176445007,7.680895233154297,27.518026,27.633333,26.994999,27.14,0.5230246,0.5333328,0.4391673505306244,0.5908338278532028,5400.0,3.7323937598229686,0.7062782981650366,-0.17294547345800537
Trees 2–10 m,18651,17,2.207388,2.2287016,1.9871846437454224,2.434396743774414,2.6700774669647216,29.058628,29.02,28.722942,28.62,0.3356861,0.33666673,0.3166675567626953,0.35999932885169983,1700.0,3.230448921378274,0.6319668641499533,-0.2953001311234488
Trees 2–10 m,18668,9,10.19348,9.80127,9.427035331726074,10.671114921569824,11.92175235748291,27.885555,27.833334,26.666666,26.59,1.2188888,1.2500013,0.9166666865348816,1.3166656494140625,900.0,2.9542425094393248,0.7102601483307044,0.5397411629714807
Trees 2–10 m,18695,10,2.945265,3.2310083,2.1781392097473145,4.191806793212891,4.567105770111084,26.710333,26.276667,25.907999,25.58,0.80233335,0.80166686,0.6699999272823334,0.9291667938232422,1000.0,3.0,0.8044653349808157,-0.0027984791687429844
Trees 2–10 m,18696,219,5.953795,5.955818,5.3683202266693115,6.3899195194244385,7.030327129364014,28.129055,27.756666,27.540913,27.26,0.58814305,0.5300007,0.44000084698200226,0.7083326876163483,21900.0,4.3404441148401185,0.6860741887527215,-0.1560735021072137
Trees 2–10 m,18704,9,2.0085282,1.8710963,1.7321677207946777,2.1726179122924805,2.450311088562012,26.885185,26.93,26.231112,26.34,0.654074,0.6566658,0.570000946521759,0.7066662907600403,900.0,2.9542425094393248,0.7654804574877098,-0.10881465548575664
Trees 2–10 m,18711,9,17.492485,18.171303,16.151626586914062,19.390914916992188,19.888836288452147,27.842964,27.81,26.224445,26.13,1.6185184,1.5899996,1.4333343505859375,1.7266674041748047,900.0,2.9542425094393248,0.7116865741694839,0.878312982371959
Trees 2–10 m,18718,11,11.265952,11.217965,11.051200866699219,11.376588821411133,11.885223388671875,26.781517,26.683332,25.202728,25.16,1.578788,1.5366663,1.3716666102409363,1.8150005340576172,1100.0,3.041392685158225,0.7787439184209635,0.7579223556497763
Trees 2–10 m,18726,9,20.391798,21.336645,19.69784927368164,21.691946029663086,21.841219329833983,27.477407,27.313334,25.931112,25.72,1.5462965,1.6466662,1.5800005197525024,1.6733335256576538,900.0,2.9542425094393248,0.7420475013163538,0.9046186678502112
Trees 2–10 m,18758,52,3.5449514,3.4983802,3.245087146759033,3.9028682112693787,4.215118551254273,28.612307,28.631666,28.320192,28.36,0.29211545,0.3050003,0.25999991223216057,0.3499997556209564,5200.0,3.716003343634799,0.6455921204320982,-0.340591815256317
Trees 2–10 m,18760,9,26.003073,26.646683,23.20677947998047,29.421161651611328,29.53719596862793,27.292593,27.16,26.681112,26.5,0.6114815,0.69999886,0.450000137090683,0.7133343815803528,900.0,2.9542425094393248,0.7514207071039388,-0.05142185151311851
Trees 2–10 m,18786,15,7.958579,9.441382,5.075351357460022,10.511062622070312,11.020581817626953,28.20489,28.026667,27.080666,27.0,1.124222,1.1233324,0.9899997711181641,1.3166662454605103,1500.0,3.1760912590556813,0.6938210283389541,0.42951135290952003
Trees 2–10 m,18799,11,-2.3106356,-2.5333223,-2.7103545665740967,-2.083808422088623,-1.4939061403274536,26.607574,26.786667,25.574547,25.68,1.0330304,1.0533333,0.9733330607414246,1.0949999690055847,1100.0,3.041392685158225,0.7724271395532545,0.28090614291744864
Trees 2–10 m,18837,9,11.616222,11.43255,11.202201843261719,11.944316864013672,12.323517990112304,27.588518,27.643333,26.716667,26.8,0.8718519,0.8800004,0.7633336186408997,1.0033334493637085,900.0,2.9542425094393248,0.7218747804976172,0.15812563196652463
Trees 2–10 m,18928,20,20.739355,20.844082,20.3174991607666,21.278210639953613,21.621249389648437,27.025833,26.568333,25.602,25.165,1.4238331,1.415,1.2550000846385956,1.569999873638153,2000.0,3.3010299956639813,0.7803659152965867,0.6346340465564406
Trees 2–10 m,18942,9,8.723644,9.068987,7.899606227874756,9.186943054199219,9.446240234375,28.076298,27.813334,27.384443,27.0,0.69185203,0.653333,0.5033340454101562,0.8333339691162109,900.0,2.9542425094393248,0.7114827657367401,-0.05814975744740292
Trees 2–10 m,18950,11,9.085952,8.960385,8.532971858978271,9.371404647827148,9.844630241394043,27.226667,27.28,26.254545,26.34,0.97212106,0.92333287,0.8283329010009766,1.1450001001358032,1100.0,3.041392685158225,0.7422699042439151,0.18106296576264613
Trees 2–10 m,18969,11,2.9734304,2.932318,2.6082886457443237,3.3668583631515503,3.6044068336486816,28.719696,28.67,28.434546,28.5,0.28515157,0.32333374,0.24499987810850143,0.33666642010211945,1100.0,3.041392685158225,0.6572999766430578,-0.33396623640868284
Trees 2–10 m,19019,25,7.110401,7.1619916,6.620126247406006,7.5577239990234375,7.786182308197022,27.627735,27.746668,26.88,26.86,0.7477335,0.7399998,0.6300004124641418,0.7666670680046082,2500.0,3.3979400086720375,0.7063164096552941,0.03368336146286999
Trees 2–10 m,19076,70,2.0490336,1.8181443,1.191123217344284,2.7034279704093933,4.6751624584198,27.471333,27.255001,26.880714,26.73,0.5906191,0.57999957,0.487499862909317,0.6816657334566116,7000.0,3.845098040014257,0.7270580707794588,-0.1470585047012728
Trees 2–10 m,19129,11,27.756407,27.61767,27.12995433807373,27.907445907592773,28.32164764404297,29.011517,29.006666,27.7,27.82,1.3115153,1.2766666,1.2083330154418945,1.4850003123283386,1100.0,3.041392685158225,0.6367197555540471,0.6399468856813044
Trees 2–10 m,19137,13,7.494514,7.5852647,7.251077175140381,7.785445690155029,7.851665592193603,26.517693,26.263332,26.023075,25.74,0.4946153,0.46666655,0.40999922156333923,0.5366656184196472,1300.0,3.113943352306837,0.8029071730873727,-0.3362406236431741
Trees 2–10 m,19178,28,12.385626,12.423349,12.137235879898071,12.662365436553955,12.803541088104248,27.386904,27.381668,26.477142,26.5,0.909762,0.8650007,0.7974998354911804,1.0350004434585571,2800.0,3.4471580313422194,0.727603510768705,0.13739721402377547
Trees 2–10 m,19242,62,5.967225,5.97966,5.403971791267395,6.498083114624023,7.680385255813598,27.06301,26.901667,25.949354,25.575,1.1136559,1.1433337,0.9783342778682709,1.2258332967758179,6200.0,3.792391689498254,0.749755016245357,0.39357865723181584
Trees 2–10 m,19265,15,4.5345564,4.5237575,4.360039234161377,4.686201095581055,5.0001294136047365,29.08311,29.033333,28.756666,28.66,0.3264446,0.31666756,0.29166603088378906,0.36499977111816406,1500.0,3.1760912590556813,0.6322840569094528,-0.31561650014675746
Trees 2–10 m,19273,19,21.454453,24.52453,17.191210746765137,25.662946701049805,27.314258575439453,27.439999,27.33,25.720526,25.54,1.7194738,1.7933344,1.5850003361701965,1.8916667699813843,1900.0,3.278753600952829,0.7342695848335745,1.0590647800574777
Trees 2–10 m,19307,12,-0.26149824,0.662334,-1.7493328750133514,1.3004516959190369,1.823142457008362,26.924723,26.938334,25.755,25.895,1.1697222,1.0666673,0.951667308807373,1.4491664171218872,1200.0,3.0791812460476247,0.7623687556530858,0.3042985626910304
Trees 2–10 m,19322,522,8.851056,8.916593,7.9856380224227905,9.819199323654175,10.494947814941407,28.30984,28.101665,27.55544,27.42,0.7543998,0.6600005,0.549999549984932,0.8833332061767578,52200.0,4.717670503002262,0.6571274705238934,0.0028730325393084843
Trees 2–10 m,19326,9,1.6709806,1.6692308,1.5743082761764526,1.8572235107421875,1.8655610084533691,27.912592,28.24,27.203333,27.65,0.7092597,0.6900012,0.5200004577636719,0.78666752576828,900.0,2.9542425094393248,0.6854008829157822,0.004600306792927555
Trees 2–10 m,19343,10,18.16842,23.730053,9.822665452957153,25.019845962524414,25.799240493774413,26.098333,26.081667,24.566,24.41,1.5323333,1.6066666,1.4008334875106812,1.6258333921432495,1000.0,3.0,0.8163855632016308,0.7902810017397754
Trees 2–10 m,19358,17,11.353617,11.231956,11.165088653564453,11.439424514770508,11.607970428466796,27.452353,27.403334,26.602942,26.59,0.84941167,0.89333344,0.7533333897590637,1.0433330535888672,1700.0,3.230448921378274,0.7307928502970512,0.16254058476154254
Trees 2–10 m,19370,15,0.4109383,0.51883894,0.3326327055692673,0.7966563105583191,0.9584496021270752,28.263556,27.966667,27.415335,27.17,0.8482223,0.88333386,0.7833331227302551,0.9733333587646484,1500.0,3.1760912590556813,0.6974887639618479,0.18584509786600245
Trees 2–10 m,19396,16,21.921131,21.784946,20.843698024749756,22.176087379455566,24.06131362915039,27.400417,27.131666,25.901875,25.380001,1.4985416,1.5983336,1.1791668236255646,1.783332347869873,1600.0,3.2041199826559246,0.7479481343006649,0.8503854628825627
Trees 2–10 m,19432,9,20.37149,20.69909,20.171175003051758,20.926607131958008,21.35277099609375,29.282223,28.953333,27.714443,27.44,1.5677781,1.5733343,1.5099989175796509,1.6866670846939087,900.0,2.9542425094393248,0.6417952059256896,0.9315391303551331
Trees 2–10 m,19451,20,3.3887324,3.307571,3.0504944920539856,3.6765921115875244,4.076705360412598,27.1845,27.088333,26.589499,26.545,0.5949999,0.5933336,0.47833332419395447,0.6958333849906921,2000.0,3.3010299956639813,0.7485785623109376,-0.15524496035933844
Trees 2–10 m,19460,21,27.434593,27.764591,27.077831268310547,27.939128875732422,28.044870376586914,27.436983,27.213333,25.849525,25.46,1.5874603,1.723334,1.2666664123535156,1.813332200050354,2100.0,3.322219294733919,0.7404960352564014,0.9828379195546948
Trees 2–10 m,19469,13,15.77512,15.399481,14.856722831726074,16.677547454833984,17.39999122619629,27.631283,27.746666,26.373077,26.61,1.2582049,1.1366659,0.9866657257080078,1.7066675424575806,1300.0,3.113943352306837,0.7122317753218241,0.42443416496290487
Trees 2–10 m,19501,10,-1.4988234,-1.3216255,-1.798630565404892,-1.2117121815681458,-1.132804119586945,27.322,27.191666,26.694,26.675,0.628,0.55833274,0.5150003433227539,0.6908334195613861,1000.0,3.0,0.7485319294996338,-0.1901991882391052
Trees 2–10 m,19504,9,0.3346751,0.29736012,0.007534649223089218,0.692676842212677,0.931265950202942,27.327408,27.15,26.633333,26.44,0.69407386,0.70999974,0.6099993586540222,0.7366669774055481,900.0,2.9542425094393248,0.7520320158069566,-0.042032275683207776
Trees 2–10 m,19536,16,0.89248717,0.8938041,0.7617945820093155,1.0501261949539185,1.1884751319885254,28.063126,28.088333,27.268126,27.265,0.7949999,0.7683331,0.7399997711181641,0.8725004345178604,1600.0,3.2041199826559246,0.6894675897910396,0.07886548763968548
Trees 2–10 m,19551,9,6.6559253,6.7265043,6.310194492340088,6.9484052658081055,7.119457626342774,26.306297,26.460001,25.577778,25.63,0.7285187,0.7000001,0.6166674494743347,0.820000946521759,900.0,2.9542425094393248,0.7942112669582698,-0.09421115966990923
Trees 2–10 m,19560,36,25.075872,25.257214,24.320876598358154,25.839909076690674,26.501662254333496,28.429258,28.683334,26.4475,26.235,1.9817594,1.916667,1.7266666293144226,2.307500123977661,3600.0,3.5563025007672873,0.6457600156039346,1.2709069689541708
Trees 2–10 m,19601,47,0.8609448,0.80601084,0.40708504617214203,1.1700285077095032,1.4741195440292352,27.6661,27.533335,26.677021,26.48,0.9890779,1.0200005,0.8950001299381256,1.1050007939338684,4700.0,3.6720978579357175,0.7136470304443719,0.30635342731929993
Trees 2–10 m,19603,10,-1.0047557,-1.0744035,-1.5104553997516632,-0.36817149072885513,-0.24086270183324815,27.253,26.998333,26.4,26.064999,0.85300046,0.933334,0.6925009191036224,0.9908337444067001,1000.0,3.0,0.7603502535040771,0.1729837394539917
Trees 2–10 m,19614,11,7.1736035,7.17498,6.985943078994751,7.562111139297485,7.711920738220215,26.165758,25.96,25.637274,25.45,0.52848476,0.5333335,0.48833371698856354,0.5783332288265228,1100.0,3.041392685158225,0.822960904114074,-0.2896274237559502
Trees 2–10 m,19629,16,20.268135,20.149624,18.787949562072754,20.85548973083496,23.118858337402344,27.791458,27.728333,26.25625,26.235,1.535208,1.4783335,1.4424996376037598,1.6033323407173157,1600.0,3.2041199826559246,0.7114742367188296,0.7668592364867368
Trees 2–10 m,19669,10,1.8463032,1.8388774,1.657161146402359,2.0141950249671936,2.1322548627853393,26.970333,26.963333,26.226002,26.15,0.7443335,0.72999984,0.6849993020296097,0.8533342480659485,1000.0,3.0,0.762489775667033,-0.03248993540748102
Trees 2–10 m,19674,65,-0.2207008,0.24058838,-1.3196423053741455,0.9963883757591248,1.2402256965637206,26.958204,27.050001,26.312,26.43,0.6462051,0.62999916,0.46666717529296875,0.7766666412353516,6500.0,3.8129133566428557,0.7402599691816978,-0.11026080841509622
Trees 2–10 m,19721,9,1.3965545,1.3194873,1.2640886306762695,1.4774670600891113,1.593932843208313,27.084816,27.256666,26.646667,26.8,0.43814802,0.48333296,0.39666685461997986,0.5199992060661316,900.0,2.9542425094393248,0.745511545101717,-0.2621785833040028
Trees 2–10 m,19773,31,2.617104,2.5614698,2.1811548471450806,2.9055092334747314,3.1123828887939453,26.725914,26.703333,25.93,25.93,0.7959139,0.70333225,0.5949993133544922,0.9916661381721497,3100.0,3.4913616938342726,0.768149082360108,-0.064816837010224
Trees 2–10 m,19786,10,-0.9412731,-1.7367591,-2.2410426139831543,-0.678020142018795,1.623102831840514,27.500666,27.361666,27.082,26.965,0.41866645,0.38833332,0.314166858792305,0.4849996566772461,1000.0,3.0,0.7381399147387566,-0.34980659412108084
Trees 2–10 m,19819,13,8.239171,8.113401,7.818341255187988,8.27348518371582,8.582819747924805,27.555128,27.656666,26.330769,26.55,1.2243587,1.2833334,1.0266672372817993,1.3699995279312134,1300.0,3.113943352306837,0.7177334370537716,0.5655999836997074
