patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
104,cool-stable,1,10,1000.0,7.705,31.8085,12.570099,-0.94140005,3000.0,500.0,0.10204001,0.46750617
105,cool-stable,1,41,4100.0,26.386,20.539,2.1155589,0.055359725,3000.0,431.3931,0.029385366,0.061394155
106,cool-stable,1,12,1200.0,25.793,18.9665,3.8401718,-0.60393953,2428.2297,40.61553,0.0,0.0
107,cool-stable,1,11,1100.0,25.67,17.657,0.47248518,-0.042960662,3000.0,375.3665,0.014581818,0.043625142
108,cool-stable,1,18,1800.0,27.4505,22.742,2.479083,0.22463962,3000.0,287.2273,0.0021555556,0.04290809
109,cool-stable,1,33,3300.0,23.847,26.539,3.2114532,-0.6082401,1473.126,256.32013,0.0,0.0
110,cool-stable,1,33,3300.0,25.352,17.609,1.4341453,-0.3185997,1714.2053,500.0,0.0,0.0
111,cool-stable,1,22,2200.0,23.5,27.14,4.5261,0.04051922,2457.7427,127.67085,0.0,0.0
112,cool-stable,1,18,1800.0,23.937,27.7905,3.3688786,-0.09352063,1768.7141,424.6096,0.0,0.0
113,cool-stable,1,12,1200.0,29.8675,23.7525,3.1362152,-0.33711946,1471.9541,500.0,0.0,0.048045266
114,cool-stable,1,44,4400.0,24.8125,18.4245,4.129597,-0.19729993,1623.6052,500.0,0.0,0.0
115,cool-stable,1,132,13200.0,24.7435,25.987,2.6444983,-0.029819831,1574.4999,466.6905,0.0,0.0
116,cool-stable,1,20,2000.0,28.4995,19.5285,2.4637852,-0.32048005,3000.0,370.46942,0.049540002,0.09910494
117,cool-stable,1,9,900.0,5.209,17.494,1.3671281,0.00748024,3000.0,447.2136,0.17822222,0.27876544
118,cool-stable,1,14,1400.0,27.217,26.324501,4.912797,0.06995968,1692.1879,308.5938,0.0,0.0
119,cool-stable,1,13,1300.0,28.579,18.747,2.436293,0.11648025,3000.0,403.11285,0.04870769,0.0925736
120,cool-stable,1,130,13000.0,32.758,14.132999,2.993762,-0.2498402,1319.1473,500.0,0.0,0.0
121,cool-stable,1,28,2800.0,4.8215,19.524,0.60548115,-0.02396019,3000.0,475.97205,0.0988,0.35046738
122,cool-stable,1,16,1600.0,25.0105,18.284,1.8058562,-0.19924057,1680.9075,164.77084,1e-04,0.22904322
123,cool-stable,1,9,900.0,26.26,18.859,0.8379247,-0.24319954,3000.0,496.48767,0.039733335,0.13884774
124,cool-stable,1,26,2600.0,6.1775,21.7325,0.7595873,0.06870064,3000.0,423.6149,0.14318462,0.21692307
125,cool-stable,1,31,3100.0,28.346,12.961,2.1125462,-0.92059964,1456.7087,500.0,0.0,0.0
126,cool-stable,1,110,11000.0,28.1975,19.3345,3.4733343,0.007119904,1249.76,481.30017,0.0,0.024010101
127,cool-stable,1,45,4500.0,26.371,25.552,4.1908255,0.10871986,1484.8906,471.69907,0.0,0.0
128,cool-stable,1,17,1700.0,26.535,19.784,1.899123,-0.1198407,3000.0,270.18512,0.028470589,0.06054466
129,cool-stable,1,42,4200.0,30.2625,23.525501,3.1212597,0.16425937,1209.9791,500.0,0.0,0.0
130,cool-stable,1,16,1600.0,4.7985,16.4795,0.6578536,0.02425949,3000.0,431.79205,0.1956,0.36957562
131,cool-stable,1,94,9400.0,30.608002,19.953499,0.9235287,-0.011659469,3000.0,339.70563,0.014910638,0.047584713
132,cool-stable,1,12,1200.0,26.196,25.772999,4.384387,0.04697956,1491.1404,416.0328,0.0,0.0
133,cool-stable,1,37,3700.0,27.69,16.585,0.94210243,-0.13304001,3000.0,500.0,0.010356757,0.119773105
134,cool-stable,1,61,6100.0,25.791,26.038,3.703288,-0.056000367,3000.0,145.6022,0.0058295084,0.024488969
135,cool-stable,1,15,1500.0,33.903,12.886,2.608455,-0.3495203,1150.1738,500.0,0.0,0.0
136,cool-stable,1,9,900.0,27.881,18.275,0.9316489,0.11939949,3000.0,498.19675,0.08995555,0.121193424
137,cool-stable,1,82,8200.0,25.546,27.649,3.1067514,-0.08284,1722.2368,143.17822,0.007365854,0.04526799
138,cool-stable,1,15,1500.0,25.042,25.972,5.2914424,0.33359924,1426.3589,396.23227,0.0,0.0054567903
139,cool-stable,1,22,2200.0,30.8415,21.3865,0.57665575,-0.04004032,3000.0,28.284271,0.0,0.0
140,cool-stable,1,59,5900.0,25.667,18.557,0.42450935,-0.14112008,3000.0,253.17978,0.0052135596,0.09409918
141,cool-stable,1,11,1100.0,23.171,25.795,4.800103,0.081999816,1095.5364,500.0,0.0,0.0
142,cool-stable,1,13,1300.0,22.75,9.8,0.8013645,-0.3570001,1282.8094,500.0,0.0,0.20052232
143,cool-stable,1,18,1800.0,22.135,18.619,2.5794065,-0.4098204,1433.8584,199.24716,0.009088889,0.022530865
144,cool-stable,1,26,2600.0,26.0955,16.897,2.0744014,0.020220071,1316.4724,500.0,0.0,0.0004463438
145,cool-stable,1,9,900.0,24.046,21.042,3.2537606,-0.2921591,1216.4292,500.0,0.0,0.0
146,cool-stable,1,133,13300.0,26.288,12.06,1.4929132,-0.085120395,941.9129,500.0,0.0,0.0
147,cool-stable,1,78,7800.0,26.328,26.3015,2.896533,0.028339654,3000.0,179.16124,0.000625641,0.028760685
148,cool-stable,1,10,1000.0,27.095001,18.337,2.7800853,-0.3622396,1358.6935,446.64545,0.0,0.12669136
149,cool-stable,1,27,2700.0,25.632,19.255,2.1451097,-0.4182393,1350.0371,386.0052,0.0,0.06650663
150,cool-stable,1,20,2000.0,27.8015,26.8985,4.553642,0.30794,1018.9944,500.0,0.0,0.0
151,cool-stable,1,9,900.0,6.453,16.131,0.7733731,-0.030599631,3000.0,393.57336,0.17493334,0.29877913
152,cool-stable,1,346,34600.0,23.222,18.9625,1.5599866,-0.19224018,1325.5565,179.16124,0.00017919074,0.04056947
153,cool-stable,1,46,4600.0,29.21,13.705999,4.529044,-0.05613987,1190.0,500.0,0.0,2.6838431e-06
154,cool-stable,1,9,900.0,5.227,16.332,0.9440983,0.034520607,3000.0,411.09607,0.16915555,0.326941
155,cool-stable,1,18,1800.0,27.029999,25.226,3.7714787,0.62494004,999.54443,500.0,0.0,0.0
156,cool-stable,1,71,7100.0,24.799,12.468,1.4295752,-0.24639949,944.2987,500.0,0.0,0.0
157,cool-stable,1,93,9300.0,24.036,22.525,3.6165195,0.037520066,1321.8547,297.32138,0.0,0.0
